epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,108.219,0.99303,0.87805,1,0.39651,0.000413486,0.000413486,0.000413486
2,219.748,0.45383,0.90786,1,0.24461,0.000747968,0.000747968,0.000747968
3,317.944,0.36536,0.93225,1,0.22026,0.000999949,0.000999949,0.000999949
4,456.844,0.31759,0.9187,1,0.2306,0.00087875,0.00087875,0.00087875
5,556.446,0.27841,0.9187,1,0.22919,0.000755,0.000755,0.000755
6,671.252,0.24574,0.94309,1,0.16104,0.00063125,0.00063125,0.00063125
7,765.363,0.1754,0.94309,1,0.14628,0.0005075,0.0005075,0.0005075
8,856.634,0.17541,0.94309,1,0.14024,0.00038375,0.00038375,0.00038375
9,958.917,0.1595,0.96206,1,0.11719,0.00026,0.00026,0.00026
10,1052.39,0.14025,0.96477,1,0.11582,0.00013625,0.00013625,0.00013625
